LRD,Region,Rano Base Code,Administrative Status,Site Type,Cabin Id,DC Battery Name,Is the Battery visible,If not visible,Battery Brand,Battery Brand Others,Battery Model,Battery Model Others,Battery Capacity (Ah),Battery Voltage (Volt),Total Current Load,Total bank (Quantity),Number of Battery Cell/ Quantity,Battery Technology,Battery Hardening (Enhance Safety Request),Last Installation Date (DD/MM/YYYY),Battery Protection,Battery Cable Size,Battery Cable Type,Warranty End Date (DD/MM/YYYY),Battery Protection Capacity,Lithium battery alarm (4+7),Incomplete Parameter,Incomplete LRD
LRD22703,CENTRAL,BASE9,Decommissioned,Rooftop,Cabin-01,Battery 1,,,Enersys,,,,60,12 volt,,2,,Lithium,,,,,6/3/2022 0:00,,,,,
LRD1786,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery sealed,MSB,,MSG12-150UP PLUS,48NPFC150,150,12 volt,85,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD2250,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,106.8,2,8,VRLA,,,,,09/15/21 00:00,,,,,
LRD12932,NORTHERN,BASE35,Active,Vacant Land,Outdoor-01,Battery-01,No,WELDED TO RACK,Enersys,,,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,Aluminium,,03/13/20 00:00,,Yes,,
LRD2249,SOUTHERN,BASE19,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2252,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2259,SABAH,BASE23,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD2261,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD2265,EASTERN,BASE5,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2270,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Hoppecke,,NET.POWER 12V150,,150,12 volt,81,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD2274,SOUTHERN,BASE6,Active,Rooftop,Cabin-01,Battery-01,,,Huawei,,ESM-48150A1,,150,48 volt,145.63,3,3,Lithium,Battery Concrete Bar,,,,12/1/2019 0:00,,,,,
LRD2277,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Tudor,,,,1000,2 volt,,1,24,VRLA,,,,,,,,,,
LRD2279,EASTERN,BASE27,Active,Vacant Land,Outdoor-01,Battery-01,,,MSB,,MSG12-100TE,,100,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2281,EASTERN,BASE1,Active,Rooftop,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,,,150,12 volt,76,1,4,VRLA,T5 Metal Plate,,,,01/16/17 00:00,,,,,
LRD2282,SABAH,BASE29,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Enersys,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2294,SARAWAK,BASE8,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD2296,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,84.1,1,24,VRLA,Others,,,,,,,,,
LRD2299,SARAWAK,BASE11,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD2300,CENTRAL,BASE32,Active,Rooftop,Outdoor-01,Battery-01,,,Narada,,Others,MPG12V170F,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2306,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,AG12V150S,,150,12 volt,29,1,4,VRLA,Others,,,,,,,,,
